label,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1,0.494289547,0.740491629,-5.29E-07,0.565995216,0.715548515,-0.037449077,0.641198635,0.648631454,-0.054619052,0.658492565,0.562623322,-0.071792796,0.615664899,0.507002711,-0.082702614,0.586919606,0.504037976,-0.020593755,0.609735847,0.441750348,-0.063777119,0.599850237,0.529738843,-0.081008039,0.588465571,0.599202871,-0.07899572,0.543119192,0.492965877,-0.019728692,0.570263386,0.431186378,-0.07587947,0.562820375,0.541467428,-0.093404122,0.553700924,0.619437337,-0.086880714,0.494229198,0.490240216,-0.026199944,0.521267831,0.443083614,-0.08097098,0.522072613,0.549700856,-0.086836383,0.51633215,0.625634313,-0.069781229,0.441433519,0.493458718,-0.034914427,0.443996608,0.389486939,-0.058317605,0.454568088,0.325669318,-0.06223261,0.466815114,0.265316784,-0.056713201
1,0.479943782,0.72752583,-7.80E-07,0.558227241,0.693296075,-0.02359153,0.617136002,0.636406541,-0.041313436,0.647319555,0.583555281,-0.061008412,0.623536766,0.55591321,-0.076325506,0.552899003,0.479277968,-0.034141518,0.607271254,0.471828908,-0.073040619,0.601488233,0.553740323,-0.089967027,0.584815621,0.611032188,-0.092611276,0.507933676,0.477924585,-0.041182082,0.566727817,0.484338373,-0.090470918,0.5634799,0.586976886,-0.103405349,0.550416648,0.654927909,-0.100308686,0.46485123,0.493438244,-0.052428197,0.521168351,0.493103087,-0.100292496,0.528065145,0.585277915,-0.103064798,0.521359146,0.653307796,-0.089262314,0.426470518,0.517172813,-0.065269999,0.426172525,0.415596157,-0.093005709,0.428549469,0.345037103,-0.099811912,0.433505028,0.283380568,-0.097504973
1,0.465349913,0.756044269,-5.80E-07,0.539324522,0.735981882,-0.046930864,0.613041937,0.679431915,-0.070329383,0.628791869,0.595724165,-0.092964925,0.584891856,0.538723052,-0.1083211,0.565168738,0.528278351,-0.030086949,0.591811419,0.483430356,-0.081046037,0.574222922,0.572090805,-0.100996479,0.557496309,0.63731432,-0.099172555,0.519132435,0.513072908,-0.025869818,0.549599349,0.464876473,-0.088733889,0.535240471,0.576807678,-0.10570474,0.522747636,0.652116597,-0.097180307,0.471452177,0.506239057,-0.030455928,0.496987224,0.472988725,-0.091195621,0.494395435,0.57828778,-0.097060561,0.486902475,0.653207898,-0.077784263,0.420947194,0.504544795,-0.038117804,0.42877391,0.397503585,-0.064630613,0.440521479,0.331954837,-0.069177724,0.45297569,0.273567736,-0.062508665
1,0.471479833,0.758846283,-4.00E-07,0.549037755,0.723999262,-0.029837754,0.609089494,0.65280956,-0.04063163,0.61352247,0.557834923,-0.053349424,0.572044849,0.500493586,-0.061576348,0.555190861,0.55256778,0.006373898,0.581306636,0.494763136,-0.032283593,0.57299304,0.560585201,-0.054104641,0.55745399,0.624094605,-0.056703597,0.515866697,0.53785181,0.007251751,0.539899647,0.458980203,-0.039966445,0.534964561,0.547873735,-0.060449455,0.527837276,0.621566713,-0.057528391,0.473623157,0.530536711,0.000971068,0.502161264,0.467818677,-0.044349432,0.497528464,0.558914185,-0.046183411,0.485695451,0.630342364,-0.028243382,0.424463302,0.529685915,-0.007459573,0.437452525,0.444208264,-0.022505535,0.451893449,0.398940742,-0.016862731,0.464892983,0.357340813,-0.004861524
1,0.4747293,0.750105739,-3.14E-07,0.548459888,0.715435922,-0.026487697,0.604414523,0.646731436,-0.035521649,0.607238829,0.550791025,-0.045960076,0.567056775,0.497771204,-0.052453242,0.549805343,0.558064699,0.006498949,0.570888877,0.493239164,-0.025939507,0.570303321,0.554903924,-0.04424404,0.559111297,0.614134133,-0.04616731,0.513952911,0.545137227,0.007752466,0.537628233,0.466492414,-0.033007953,0.535978496,0.550232887,-0.052275069,0.526499629,0.619169176,-0.050625961,0.476007968,0.538326919,0.003108579,0.502233863,0.47264719,-0.03521727,0.498764694,0.555727124,-0.036789335,0.485647172,0.620783627,-0.02163182,0.431396633,0.537966132,-0.003404226,0.440845251,0.460965931,-0.014968844,0.456375718,0.422884047,-0.009223755,0.469045162,0.387598693,0.001314386
1,0.468122572,0.744915605,-4.30E-07,0.536252618,0.708376706,-0.029852474,0.59406209,0.635450542,-0.041736607,0.59685123,0.549881935,-0.055075862,0.554816425,0.501400709,-0.064118415,0.53718698,0.531348646,-0.001209611,0.560303748,0.480303019,-0.038348153,0.556560993,0.548811913,-0.058228638,0.546450913,0.609147966,-0.060190607,0.498880416,0.524538696,6.72E-05,0.521243751,0.461088657,-0.045075528,0.521224022,0.551411033,-0.063192338,0.517232656,0.621525705,-0.059875671,0.458475053,0.524256885,-0.005233584,0.482852489,0.468714923,-0.047971133,0.485093743,0.557043254,-0.049862627,0.479718834,0.625385642,-0.0335817,0.412513971,0.530817986,-0.012699608,0.417822659,0.448220253,-0.027359275,0.427786946,0.40331769,-0.023308931,0.438080519,0.361298978,-0.01311681
1,0.464435011,0.764129162,-5.10E-07,0.528141916,0.734271467,-0.02603793,0.586916625,0.674376249,-0.039445102,0.608240724,0.609064877,-0.054793689,0.580557227,0.559515119,-0.065128118,0.540119708,0.553851366,-0.012618006,0.570584536,0.513186336,-0.049883269,0.563181102,0.586897254,-0.06641604,0.550488949,0.646994174,-0.065752737,0.505285859,0.545562148,-0.014879485,0.540777624,0.503438771,-0.061662428,0.535449564,0.595830202,-0.077220939,0.525354981,0.663816512,-0.073023513,0.4658131,0.54191488,-0.023095082,0.500391185,0.50862968,-0.068142623,0.501328647,0.597156346,-0.073077306,0.493416429,0.662840962,-0.059299719,0.423109502,0.543622494,-0.032949723,0.429155827,0.451765835,-0.051425386,0.439125717,0.396978438,-0.053216062,0.449886024,0.348330975,-0.04786573
1,0.478092372,0.765786052,-5.08E-07,0.53815496,0.741905272,-0.026235858,0.594007671,0.684121311,-0.038706943,0.610937178,0.620297432,-0.052754793,0.583362699,0.57536459,-0.062234152,0.55189079,0.575630188,-0.010847976,0.577660382,0.534589827,-0.043462954,0.570358634,0.60024935,-0.058034558,0.558928013,0.652113676,-0.05744024,0.519222736,0.566332102,-0.011144814,0.5479967,0.525106609,-0.052706089,0.542303026,0.607915282,-0.066720739,0.533410549,0.669062018,-0.062370066,0.482931972,0.562446415,-0.016862586,0.511224329,0.527296424,-0.055921964,0.511409938,0.606919646,-0.059092376,0.504889965,0.667356431,-0.045296479,0.444275022,0.563037455,-0.024481753,0.449647546,0.478213131,-0.039967503,0.457502097,0.427628815,-0.040242832,0.466263056,0.3840895,-0.03371805
1,0.483058482,0.765065849,-4.78E-07,0.544282556,0.741872132,-0.028058173,0.60008049,0.684862077,-0.040938899,0.615042925,0.616057694,-0.055243321,0.58536154,0.566388547,-0.065066613,0.560502827,0.579963326,-0.008946577,0.585152388,0.532996833,-0.043458987,0.576886594,0.594928861,-0.060184374,0.565715134,0.647439957,-0.06078415,0.527575374,0.568824351,-0.008387217,0.55463773,0.521149278,-0.051896933,0.547947288,0.603376627,-0.067717306,0.540286481,0.665656507,-0.064044423,0.49062556,0.562728345,-0.013730792,0.517839134,0.523597717,-0.054775316,0.516387999,0.603149533,-0.058514308,0.509446025,0.664118588,-0.044560455,0.450006157,0.560329139,-0.021074969,0.456299663,0.477634788,-0.036977816,0.464675248,0.428963691,-0.036809623,0.474159271,0.386201024,-0.029850142
1,0.491471708,0.771968782,-4.22E-07,0.552742362,0.740015984,-0.031258974,0.606252253,0.67291826,-0.044426974,0.606124759,0.591480494,-0.058427837,0.565370798,0.543349028,-0.06802538,0.559897304,0.577309668,-0.004381042,0.578374982,0.526783586,-0.042579815,0.569282055,0.589195013,-0.063332811,0.55820775,0.644588649,-0.06611295,0.522890747,0.567305446,-0.001836853,0.54030925,0.507185161,-0.047572616,0.535149932,0.591149867,-0.065530322,0.529991448,0.656920433,-0.062357396,0.484124422,0.563456893,-0.006028592,0.501472831,0.511009037,-0.048808016,0.501332462,0.594116628,-0.051562909,0.497476608,0.659661949,-0.036045074,0.440411508,0.56625253,-0.012560151,0.442906976,0.487079412,-0.027726056,0.450687647,0.441720426,-0.025951223,0.460084707,0.399426281,-0.017549817
